virus,virusLabel,rankLabel,parent,parentLabel
http://www.wikidata.org/entity/Q16988426,Coronavirus HKU15,Art,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q16988426,Coronavirus HKU15,Art,http://www.wikidata.org/entity/Q57754709,Buldecovirus
http://www.wikidata.org/entity/Q18965333,Munia coronavirus HKU13,Art,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q18965333,Munia coronavirus HKU13,Art,http://www.wikidata.org/entity/Q57754709,Buldecovirus
http://www.wikidata.org/entity/Q18965334,Thrush coronavirus HKU12,Art,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q18965335,Avian coronavirus,Art,http://www.wikidata.org/entity/Q16977225,Gammacoronavirus
http://www.wikidata.org/entity/Q18965335,Avian coronavirus,Art,http://www.wikidata.org/entity/Q57754734,Igacovirus
http://www.wikidata.org/entity/Q18965336,Beluga whale coronavirus SW1,Art,http://www.wikidata.org/entity/Q16977225,Gammacoronavirus
http://www.wikidata.org/entity/Q18965336,Beluga whale coronavirus SW1,Art,http://www.wikidata.org/entity/Q57754725,Cegacovirus
http://www.wikidata.org/entity/Q24808943,Common moorhen coronavirus HKU21,Art,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q24808943,Common moorhen coronavirus HKU21,Art,http://www.wikidata.org/entity/Q57754709,Buldecovirus
http://www.wikidata.org/entity/Q24808943,Common moorhen coronavirus HKU21,Art,http://www.wikidata.org/entity/Q57754718,Moordecovirus
http://www.wikidata.org/entity/Q24808946,Night heron coronavirus HKU19,Art,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q24808946,Night heron coronavirus HKU19,Art,http://www.wikidata.org/entity/Q57754714,Herdecovirus
http://www.wikidata.org/entity/Q24808947,White-eye coronavirus HKU16,Art,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q24808947,White-eye coronavirus HKU16,Art,http://www.wikidata.org/entity/Q57754709,Buldecovirus
http://www.wikidata.org/entity/Q24808948,Wigeon coronavirus HKU20,Art,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q24808948,Wigeon coronavirus HKU20,Art,http://www.wikidata.org/entity/Q57754699,Andecovirus
http://www.wikidata.org/entity/Q55643348,SADS,,http://www.wikidata.org/entity/Q57754648,Rhinacovirus
http://www.wikidata.org/entity/Q57754699,Andecovirus,Untergattung,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q57754709,Buldecovirus,Untergattung,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q57754714,Herdecovirus,Untergattung,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q57754718,Moordecovirus,Untergattung,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q57754725,Cegacovirus,Untergattung,http://www.wikidata.org/entity/Q16977225,Gammacoronavirus
http://www.wikidata.org/entity/Q57754734,Igacovirus,Untergattung,http://www.wikidata.org/entity/Q16977225,Gammacoronavirus
http://www.wikidata.org/entity/Q57758320,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Art,http://www.wikidata.org/entity/Q57754588,Decacovirus
http://www.wikidata.org/entity/Q57758326,Myotis ricketti alphacoronavirus Sax-2011,Art,http://www.wikidata.org/entity/Q57754626,Myotacovirus
http://www.wikidata.org/entity/Q57758332,Nyctalus velutinus alphacoronavirus SC-2013,Art,http://www.wikidata.org/entity/Q57754632,Nyctacovirus
http://www.wikidata.org/entity/Q57758339,Bat Hp-betacoronavirus Zhejiang2013,Art,http://www.wikidata.org/entity/Q57754671,Hibecovirus
http://www.wikidata.org/entity/Q57773819,Lucheng Rn rat coronavirus,Art,http://www.wikidata.org/entity/Q57754603,Luchacovirus
http://www.wikidata.org/entity/Q57773822,Ferret coronavirus,Art,http://www.wikidata.org/entity/Q57754609,Minacovirus
http://www.wikidata.org/entity/Q57773827,NL63-related bat coronavirus strain BtKYNL63-9b,Art,http://www.wikidata.org/entity/Q57754656,Setracovirus
http://www.wikidata.org/entity/Q57773834,China Rattus coronavirus HKU24,Art,http://www.wikidata.org/entity/Q57754667,Embecovirus
http://www.wikidata.org/entity/Q57879935,Rousettus bat coronavirus GCCDC1,Art,http://www.wikidata.org/entity/Q57754685,Nobecovirus
http://www.wikidata.org/entity/Q57919664,Milecovirus,Untergattung,http://www.wikidata.org/entity/Q57773813,Alphaletovirus
http://www.wikidata.org/entity/Q70627740,Microhyla letovirus 1,Art,http://www.wikidata.org/entity/Q57919664,Milecovirus
http://www.wikidata.org/entity/Q82069695,SARS-CoV-2,Art,http://www.wikidata.org/entity/Q57754693,Sarbecovirus
http://www.wikidata.org/entity/Q85438966,SARS-CoV,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q85939995,Bat SARS-like coronavirus RsSHC014,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q88162038,Bat SARS coronavirus Rp1,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q88169973,SARS coronavirus B024,,http://www.wikidata.org/entity/Q278567,Severe acute respiratory syndrome-related coronavirus
http://www.wikidata.org/entity/Q88383088,Human coronavirus HKU1,,http://www.wikidata.org/entity/Q16983360,Human coronavirus HKU1
http://www.wikidata.org/entity/Q89160148,Rabbit Coronavirus HKU14,,http://www.wikidata.org/entity/Q57754667,Embecovirus
http://www.wikidata.org/entity/Q91516543,Cetacean coronavirus,Art,http://www.wikidata.org/entity/Q16977225,Gammacoronavirus
http://www.wikidata.org/entity/Q91554349,Quail coronavirus UAE-HKU30,Art,http://www.wikidata.org/entity/Q57754709,Buldecovirus
http://www.wikidata.org/entity/Q91554593,sparrow coronavirus HKU17,Art,http://www.wikidata.org/entity/Q16955738,Deltacoronavirus
http://www.wikidata.org/entity/Q91555774,FalCoV UAE-HKU27,Art,http://www.wikidata.org/entity/Q57754709,Buldecovirus
http://www.wikidata.org/entity/Q91556001,Coronavirus Neoromicia/PML-PHE1/RSA/2011,,http://www.wikidata.org/entity/Q4902157,MERS-CoV
http://www.wikidata.org/entity/Q91556362,Erinaceus hedgehog coronavirus HKU31,Art,http://www.wikidata.org/entity/Q57754679,Merbecovirus
http://www.wikidata.org/entity/Q91559255,Tylonycteris bat coronavirus HKU33,,http://www.wikidata.org/entity/Q116167178,Alphacoronavirus HKU33
http://www.wikidata.org/entity/Q91560228,Rhinolophus bat coronavirus HKU32,Art,http://www.wikidata.org/entity/Q57754588,Decacovirus
http://www.wikidata.org/entity/Q91560702,Rousettus bat coronavirus HKU10,Art,http://www.wikidata.org/entity/Q57754588,Decacovirus
